id_estoque,id_produto,centro_distribuicao,estoque_atual,estoque_reservado,estoque_minimo,data_posicao
597,597,cd_sp,226,8,11,2026-01-09
598,598,CD-SP,588,57,43,2026-01-11
599,599,cd_sp,29,5,30,2026-01-06
600,600,cd_sp,429,69,18,2026-01-12
601,601,cd_sp,37,64,23,2026-01-09
602,602,CD-RJ,219,73,43,2026-01-26
603,603,cd_sp,308,38,14,2026-01-28
604,604,cd_sp,513,52,24,2026-01-27
605,605,CD-SP,261,71,42,2026-01-13
606,606,CD-MG,159,71,36,2026-01-23
607,607,CD-RJ,28,48,38,2026-01-31
608,608,CD-MG,306,52,14,2026-01-30
609,609,CD-MG,287,23,39,2026-01-29
610,610,cd_sp,464,28,24,2026-01-22
611,611,CD-MG,127,7,40,2026-01-11
612,612,CD-MG,402,71,38,2026-01-20
613,613,CD-MG,117,31,21,2026-01-10
614,614,CD-RJ,188,10,33,2026-01-28
615,615,CD-SP,359,68,17,2026-01-31
616,616,CD-RJ,32,48,48,2026-01-27
617,617,CD-SP,599,9,17,2026-01-15
618,618,cd_sp,581,61,18,2026-01-21
619,619,CD-RJ,320,1,18,2026-02-02
620,620,CD-SP,174,61,20,2026-01-09
621,621,cd_sp,598,50,20,2026-02-02
622,622,CD-RJ,545,36,29,2026-01-06
623,623,CD-RJ,457,39,21,2026-01-23
624,624,CD-MG,348,59,11,2026-01-22
625,625,CD-RJ,460,26,28,2026-01-30
626,626,CD-MG,300,5,41,2026-01-26
627,627,cd_sp,206,2,21,2026-01-10
628,628,CD-MG,546,37,14,2026-01-23
629,629,CD-RJ,180,29,29,2026-01-25
630,630,cd_sp,563,63,40,2026-01-11
631,631,CD-RJ,325,62,46,2026-01-14
632,632,CD-MG,482,21,27,2026-01-30
633,633,cd_sp,153,69,36,2026-01-08
634,634,CD-SP,168,67,7,2026-01-14
635,635,CD-SP,56,0,31,2026-01-26
636,636,cd_sp,120,8,50,2026-01-08
637,637,CD-SP,134,27,37,2026-01-13
638,638,CD-RJ,446,7,44,2026-01-30
639,639,CD-MG,474,2,5,2026-01-20
640,640,CD-MG,524,1,6,2026-01-14
641,641,CD-RJ,522,68,23,2026-01-07
642,642,CD-MG,-3,22,11,2026-01-09
643,643,cd_sp,78,30,17,2026-01-12
644,644,CD-RJ,519,45,22,2026-01-21
645,645,CD-SP,386,47,30,2026-01-23
646,646,cd_sp,450,28,24,2026-01-23
647,647,CD-SP,62,11,30,2026-01-18
648,648,CD-MG,368,70,35,2026-01-13
649,649,CD-SP,37,21,10,2026-01-31
650,650,CD-MG,491,42,41,2026-01-31
651,651,CD-SP,77,29,18,2026-01-28
652,652,CD-MG,560,34,7,2026-01-11
653,653,CD-RJ,56,69,41,2026-01-21
654,654,cd_sp,13,40,6,2026-01-18
655,655,cd_sp,192,50,9,2026-01-14
656,656,cd_sp,286,72,20,2026-02-02
657,657,CD-MG,560,69,26,2026-01-26
658,658,cd_sp,373,10,37,2026-01-22
659,659,CD-SP,334,12,32,2026-01-21
660,660,CD-SP,217,43,43,2026-01-16
661,661,CD-MG,589,41,6,2026-01-14
662,662,CD-MG,259,62,19,2026-01-26
663,663,CD-MG,344,55,16,2026-01-10
664,664,CD-MG,579,10,44,2026-01-19
665,665,cd_sp,282,9,10,2026-01-25
666,666,cd_sp,254,48,50,2026-01-31
667,667,CD-MG,137,40,28,2026-01-15
668,668,CD-SP,89,0,24,2026-01-10
669,669,CD-RJ,435,34,11,2026-01-10
670,670,CD-SP,115,23,32,2026-02-02
671,671,CD-MG,439,13,6,2026-01-31
672,672,CD-RJ,71,70,10,2026-01-15
673,673,CD-RJ,591,49,5,2026-01-19
674,674,CD-MG,278,49,10,2026-01-05
675,675,cd_sp,552,73,38,2026-01-30
676,676,CD-MG,153,21,13,2026-01-29
677,677,CD-RJ,255,34,36,2026-01-07
678,678,CD-SP,129,21,32,2026-01-08
679,679,CD-MG,262,38,35,2026-02-03
680,680,CD-RJ,58,32,20,2026-01-14
681,681,cd_sp,487,58,11,2026-01-23
682,682,CD-RJ,118,0,30,2026-01-23
683,683,CD-MG,320,42,33,2026-02-03
684,684,CD-MG,322,76,13,2026-01-15
685,685,CD-RJ,287,77,49,2026-01-08
686,686,CD-MG,185,40,16,2026-01-15
687,687,CD-RJ,387,37,49,2026-01-21
688,688,cd_sp,482,41,29,2026-01-25
689,689,CD-MG,267,46,12,2026-02-03
690,690,cd_sp,557,75,39,2026-01-25
691,691,CD-SP,164,59,50,2026-01-15
692,692,CD-MG,194,37,49,2026-02-03
693,693,CD-MG,50,63,13,2026-01-10
694,694,cd_sp,290,32,47,2026-01-14
695,695,CD-MG,137,48,9,2026-01-18
696,696,CD-MG,439,74,30,2026-01-28
697,697,CD-MG,527,69,7,2026-01-05
698,698,CD-SP,348,13,20,2026-01-27
699,699,cd_sp,343,78,7,2026-01-10
700,700,CD-MG,556,42,32,2026-01-12
701,701,CD-SP,88,12,21,2026-01-06
702,702,cd_sp,207,57,28,2026-01-16
703,703,CD-MG,380,75,49,2026-01-17
704,704,cd_sp,492,44,6,2026-01-23
705,705,CD-SP,474,37,31,2026-02-02
706,706,CD-SP,67,18,27,2026-01-26
707,707,CD-RJ,299,58,18,2026-01-18
708,708,CD-MG,513,44,35,2026-01-12
709,709,CD-MG,79,57,25,2026-01-15
710,710,CD-RJ,48,5,50,2026-01-10
711,711,CD-SP,97,43,46,2026-01-29
712,712,cd_sp,91,31,38,2026-01-27
713,713,cd_sp,158,42,40,2026-01-15
714,714,CD-MG,416,29,30,2026-01-31
715,715,cd_sp,168,55,30,2026-01-15
716,716,cd_sp,9,57,42,2026-01-06
717,717,CD-MG,419,0,50,2026-01-09
718,718,cd_sp,199,35,50,2026-02-01
719,719,CD-SP,44,68,16,2026-01-11
720,720,CD-RJ,354,25,34,2026-01-07
721,721,CD-RJ,96,62,38,2026-01-19
722,722,CD-MG,300,78,30,2026-01-30
723,723,CD-SP,581,44,27,2026-01-26
724,724,cd_sp,448,38,44,2026-02-03
725,725,CD-SP,584,17,25,2026-01-21
726,726,cd_sp,100,39,12,2026-01-21
727,727,CD-RJ,167,18,37,2026-02-01
728,728,CD-MG,377,76,13,2026-01-29
729,729,CD-MG,568,54,16,2026-01-07
730,730,cd_sp,478,71,15,2026-01-11
731,731,CD-RJ,481,17,16,2026-01-16
732,732,CD-MG,302,79,8,2026-01-13
733,733,CD-SP,347,62,13,2026-01-25
734,734,CD-MG,179,71,37,2026-01-31
735,735,CD-MG,486,62,31,2026-02-03
736,736,CD-MG,434,21,10,2026-01-10
737,737,CD-SP,558,28,23,2026-01-23
738,738,CD-RJ,13,28,39,2026-01-16
739,739,cd_sp,275,58,41,2026-01-05
740,740,CD-SP,487,73,12,2026-01-28
741,741,CD-RJ,254,69,7,2026-01-07
742,742,cd_sp,431,54,11,2026-01-06
743,743,CD-RJ,233,4,33,2026-01-23
744,744,CD-RJ,249,11,33,2026-01-24
745,745,cd_sp,100,26,42,2026-01-23
746,746,CD-MG,339,21,44,2026-02-03
747,747,cd_sp,122,26,8,2026-01-26
748,748,CD-RJ,563,68,22,2026-01-09
749,749,cd_sp,591,41,50,2026-01-28
750,750,CD-RJ,279,73,22,2026-01-13
751,751,CD-SP,506,17,31,2026-01-14
752,752,CD-RJ,40,16,49,2026-02-03
753,753,cd_sp,115,18,50,2026-02-03
754,754,cd_sp,309,50,36,2026-01-25
755,755,CD-RJ,125,80,31,2026-01-25
756,756,CD-MG,364,9,45,2026-01-06
757,757,CD-MG,75,65,22,2026-01-17
758,758,CD-MG,357,62,25,2026-01-29
759,759,CD-SP,575,11,34,2026-01-11
760,760,CD-SP,346,68,30,2026-01-08
761,761,CD-MG,203,27,36,2026-01-28
762,762,CD-RJ,254,36,26,2026-01-12
763,763,cd_sp,540,72,36,2026-01-30
764,764,CD-SP,331,5,11,2026-01-19
765,765,CD-SP,450,15,15,2026-01-28
766,766,CD-MG,431,0,32,2026-01-12
767,767,cd_sp,187,38,15,2026-02-02
768,768,CD-SP,260,46,21,2026-01-14
769,769,CD-RJ,64,21,8,2026-01-12
770,770,CD-RJ,385,29,32,2026-01-11
771,771,CD-SP,73,0,18,2026-01-11
772,772,CD-SP,468,16,42,2026-01-11
773,773,CD-MG,211,1,5,2026-01-12
774,774,CD-SP,331,54,49,2026-01-29
775,775,CD-MG,115,9,19,2026-02-02
776,776,CD-SP,372,13,11,2026-01-30
777,777,CD-RJ,300,38,13,2026-01-14
778,778,cd_sp,371,18,9,2026-01-22
779,779,CD-SP,523,78,46,2026-01-25
780,780,CD-MG,148,44,18,2026-01-06
781,781,CD-MG,135,78,48,2026-01-08
782,782,cd_sp,433,11,11,2026-01-15
783,783,CD-SP,123,75,29,2026-01-31
784,784,CD-MG,339,40,13,2026-01-31
785,785,CD-RJ,233,10,20,2026-01-06
786,786,CD-RJ,546,3,47,2026-01-23
787,787,cd_sp,288,66,43,2026-01-18
788,788,cd_sp,501,50,23,2026-01-22
789,789,cd_sp,35,63,29,2026-01-11
790,790,cd_sp,95,63,45,2026-01-26
791,791,CD-SP,588,67,5,2026-01-29
792,792,CD-RJ,349,16,29,2026-01-10
793,793,CD-MG,562,46,39,2026-02-01
794,794,CD-MG,156,9,6,2026-01-21
795,795,CD-SP,581,1,21,2026-01-15
796,796,CD-SP,200,7,30,2026-01-27
797,797,CD-RJ,498,80,50,2026-02-03
798,798,CD-MG,493,54,49,2026-01-24
799,799,CD-SP,391,68,39,2026-01-20
800,800,CD-RJ,136,10,24,2026-02-03
