id_entrega,id_pedido,data_envio,data_prevista,data_entregue,transportadora,custo_frete_real,tentativas
1364,PED-30093,2024-08-18,2024-08-20,2024-08-24,Correios,57.03,3
1365,PED-73691,2025-02-15,2025-02-21,2025-02-21,Correios,112.44,2
1366,PED-16376,2025-05-25,2025-06-05,2025-06-07,Jadlog,125.36,2
1367,PED-10273,2024-08-17,2024-08-21,2024-08-24,Correios,80.27,1
1368,PED-73068,2025-02-14,2025-02-16,2025-02-18,Jadlog,82.68,3
1369,PED-89391,2025-01-18,2025-01-26,2025-01-29,correios,108.58,4
1370,PED-68861,2024-03-08,2024-03-17,2024-03-23,correios,122.36,3
1371,PED-97097,2025-02-25,2025-02-28,2025-03-05,Total Express,59.12,4
1372,PED-16005,2024-03-01,2024-03-08,2024-03-12,Total Express,105.14,1
1373,PED-84972,2024-08-09,2024-08-13,2024-08-09,Jadlog,82.06,1
1374,PED-21161,2024-04-15,2024-04-27,2024-05-01,correios,134.08,1
1375,PED-34824,2026-02-01,2026-02-12,2026-02-16,Total Express,74.35,1
1376,PED-79711,2025-07-11,2025-07-14,2025-07-20,correios,135.03,3
1377,PED-85963,2025-08-31,2025-09-05,2025-09-04,Total Express,19.17,3
1378,PED-15896,2025-03-27,2025-04-04,2025-04-09,Total Express,121.78,1
1379,PED-33659,2024-04-21,2024-04-28,2024-04-30,Total Express,11.18,3
1380,PED-21930,2025-08-24,2025-09-01,2025-09-01,Correios,137.33,2
1381,PED-33942,2024-06-16,2024-06-22,2024-06-20,Jadlog,109.42,2
1382,PED-98946,2025-05-01,2025-05-07,2025-05-09,correios,15.78,3
1383,PED-17667,2025-01-16,2025-01-20,2025-01-16,Jadlog,59.47,3
1384,PED-52495,2024-12-03,2024-12-07,2024-12-09,Jadlog,57.57,1
1385,PED-41407,2025-12-04,2025-12-06,2025-12-05,correios,73.07,4
1386,PED-17947,2024-08-02,2024-08-05,2024-08-05,Jadlog,69.36,4
1387,PED-13788,2024-06-26,2024-06-29,2024-07-02,Total Express,91.63,1
1388,PED-86830,2026-01-21,2026-01-27,2026-01-31,Correios,40.51,2
1389,PED-63313,2024-09-18,2024-09-24,2024-09-29,Total Express,19.08,2
1390,PED-80836,2024-03-04,2024-03-08,2024-03-09,correios,111.23,4
1391,PED-15477,2024-08-31,2024-09-10,2024-09-13,Correios,115.27,3
1392,PED-10071,2026-01-15,2026-01-27,2026-01-25,Correios,131.22,4
1393,PED-42884,2025-12-21,2025-12-27,2026-01-01,Total Express,139.9,2
1394,PED-46872,2024-05-24,2024-06-04,2024-06-08,Correios,29.31,1
1395,PED-61813,2024-10-22,2024-10-28,2024-10-25,Correios,117.63,3
1396,PED-90012,2024-09-15,2024-09-23,2024-09-22,Jadlog,124.68,3
1397,PED-69338,2025-07-29,2025-08-10,2025-08-10,Jadlog,40.46,3
1398,PED-70266,2025-10-13,2025-10-20,2025-10-19,Jadlog,10.1,2
1399,PED-89794,2024-09-05,2024-09-17,2024-09-13,Total Express,8.56,1
1400,PED-64154,2025-12-04,2025-12-16,2025-12-14,Total Express,108.65,1
1401,PED-20161,2025-08-30,2025-09-11,2025-09-17,Correios,125.82,4
1402,PED-56267,2024-07-29,2024-08-10,2024-08-07,Total Express,117.23,3
1403,PED-11105,2025-12-22,2025-12-30,2025-12-28,Correios,69.08,2
1404,PED-39035,2024-02-05,2024-02-14,2024-02-10,Correios,108.11,3
1405,PED-90405,2025-09-15,2025-09-20,2025-09-17,Jadlog,114.71,2
1406,PED-57579,2025-02-17,2025-02-22,2025-02-25,Correios,45.06,2
1407,PED-93681,2025-12-12,2025-12-14,2025-12-13,Total Express,22.64,3
1408,PED-74751,2024-05-02,2024-05-13,2024-05-17,correios,80.84,2
1409,PED-26809,2024-04-26,2024-04-29,2024-05-04,Correios,24.82,2
1410,PED-35146,2025-06-02,2025-06-12,2025-06-12,Correios,138.94,3
1411,PED-69497,2024-09-01,2024-09-13,2024-09-17,Correios,131.8,1
1412,PED-63330,2025-04-04,2025-04-11,2025-04-13,Jadlog,24.07,4
1413,PED-77797,2024-09-07,2024-09-16,2024-09-17,Correios,124.66,2
1414,PED-65058,2024-05-09,2024-05-11,2024-05-11,Total Express,49.74,4
1415,PED-20722,2024-10-06,2024-10-11,2024-10-12,Correios,138.71,2
1416,PED-42765,2024-11-08,2024-11-16,2024-11-13,correios,29.71,3
1417,PED-91958,2025-11-28,2025-12-01,2025-12-07,Correios,11.68,4
1418,PED-92090,2024-02-07,2024-02-09,2024-02-14,Jadlog,118.95,2
1419,PED-41242,2024-08-25,2024-08-28,2024-08-31,Jadlog,117.89,3
1420,PED-19556,2025-11-27,2025-12-07,2025-12-06,Total Express,108.86,4
1421,PED-21211,2025-07-05,2025-07-16,2025-07-13,Correios,129.01,4
1422,PED-26716,2026-01-30,2026-02-06,2026-02-03,Correios,129.32,4
1423,PED-90050,2024-03-25,2024-03-27,2024-03-27,Total Express,16.68,1
1424,PED-48655,2025-04-10,2025-04-20,2025-04-16,Total Express,61.02,4
1425,PED-96471,2025-10-17,2025-10-22,2025-10-27,Correios,67.85,4
1426,PED-91163,2025-01-06,2025-01-14,2025-01-19,Correios,52.83,1
1427,PED-53017,2024-02-22,2024-03-02,2024-03-06,correios,22.26,1
1428,PED-87710,2024-07-21,2024-08-01,2024-07-29,correios,127.38,2
1429,PED-43591,2024-08-31,2024-09-12,2024-09-16,Jadlog,63.57,4
1430,PED-28045,2024-09-05,2024-09-09,2024-09-08,Correios,15.98,3
1431,PED-77256,2025-01-21,2025-02-01,2025-02-03,Jadlog,49.08,2
1432,PED-50458,2024-03-11,2024-03-15,2024-03-18,Jadlog,46.42,1
1433,PED-96203,2025-07-14,2025-07-24,2025-07-29,correios,15.57,1
1434,PED-35612,2024-09-24,2024-10-02,2024-10-03,correios,92.55,2
1435,PED-34819,2025-06-02,2025-06-05,2025-06-06,Total Express,99.71,4
1436,PED-85813,2024-03-08,2024-03-19,2024-03-20,Jadlog,89.33,4
1437,PED-23742,2024-02-24,2024-03-02,2024-02-29,Total Express,123.65,1
1438,PED-10484,2024-03-31,2024-04-09,2024-04-08,correios,99.51,4
1439,PED-41328,2024-05-17,2024-05-28,2024-05-27,Total Express,104.97,3
1440,PED-62469,2024-12-03,2024-12-11,2024-12-10,correios,117.04,1
1441,PED-19664,2024-04-05,2024-04-12,2024-04-08,Jadlog,11.96,1
1442,PED-67725,2025-11-10,2025-11-14,2025-11-14,correios,91.34,3
1443,PED-36099,2025-02-24,2025-02-26,2025-02-22,correios,45.5,2
1444,PED-54540,2024-08-13,2024-08-19,2024-08-17,correios,31.57,1
1445,PED-23263,2024-10-15,2024-10-19,2024-10-19,Correios,117.75,2
1446,PED-24544,2024-06-08,2024-06-16,2024-06-22,Jadlog,131.57,3
1447,PED-58449,2024-08-05,2024-08-14,2024-08-13,Jadlog,95.24,4
1448,PED-28931,2024-06-30,2024-07-03,2024-06-30,correios,112.93,2
1449,PED-59054,2024-12-25,2025-01-04,2025-01-06,Jadlog,87.14,2
1450,PED-86981,2025-11-16,2025-11-18,2025-11-23,correios,120.79,3
1451,PED-42397,2024-04-20,2024-04-24,2024-04-25,Correios,91.09,3
1452,PED-86556,2024-07-02,2024-07-06,2024-07-10,Total Express,35.62,1
1453,PED-90594,2025-04-14,2025-04-23,2025-04-29,Correios,30.1,4
1454,PED-59055,2024-09-11,2024-09-23,2024-09-27,Total Express,76.49,2
1455,PED-78875,2025-09-19,2025-09-26,2025-09-27,Total Express,102.47,4
1456,PED-86177,2025-08-02,2025-08-11,2025-08-11,Total Express,92.23,1
1457,PED-36607,2025-06-23,2025-06-28,2025-06-27,Total Express,121.94,4
1458,PED-65708,2025-04-17,2025-04-22,2025-04-22,Total Express,83.42,3
1459,PED-21109,2024-02-14,2024-02-20,2024-02-24,correios,107.21,3
1460,PED-56081,2024-04-30,2024-05-09,2024-05-13,correios,85.08,4
1461,PED-54089,2024-10-31,2024-11-10,2024-11-15,Total Express,67.55,4
1462,PED-75213,2024-08-01,2024-08-09,2024-08-10,Jadlog,44.04,1
1463,PED-40643,2025-05-11,2025-05-15,2025-05-18,Jadlog,93.19,3
1464,PED-75767,2025-08-13,2025-08-16,2025-08-16,Correios,111.74,2
1465,PED-19351,2024-12-04,2024-12-07,2024-12-04,Jadlog,13.05,2
1466,PED-98487,2024-08-15,2024-08-22,2024-08-21,Jadlog,41.0,3
1467,PED-28070,2024-09-13,2024-09-18,2024-09-23,Jadlog,9.13,3
1468,PED-62928,2025-08-14,2025-08-20,2025-08-21,Total Express,116.49,1
1469,PED-77193,2025-08-03,2025-08-12,2025-08-18,correios,122.24,2
1470,PED-72185,2024-09-24,2024-09-29,2024-09-28,correios,76.09,4
1471,PED-21255,2025-09-20,2025-09-29,2025-09-30,Jadlog,119.65,4
1472,PED-67498,2024-10-21,2024-10-29,2024-10-28,Total Express,120.59,1
1473,PED-85695,2024-07-16,2024-07-23,2024-07-21,correios,48.34,1
1474,PED-56486,2024-07-31,2024-08-09,2024-08-15,Jadlog,37.76,4
1475,PED-80464,2024-04-24,2024-05-06,2024-05-08,Jadlog,51.04,1
1476,PED-28236,2026-01-06,2026-01-17,2026-01-13,correios,137.0,3
1477,PED-89036,2024-06-15,2024-06-26,2024-07-02,Total Express,137.38,2
1478,PED-80056,2024-04-15,2024-04-23,2024-04-20,Total Express,32.86,1
1479,PED-69183,2025-01-12,2025-01-19,2025-01-24,Jadlog,20.31,1
1480,PED-33283,2024-12-30,2025-01-11,2025-01-15,Correios,117.09,4
1481,PED-36083,2025-01-29,2025-01-31,2025-01-29,Correios,128.3,4
1482,PED-40544,2024-12-01,2024-12-07,2024-12-06,Jadlog,95.06,1
1483,PED-58319,2025-02-24,2025-03-05,2025-03-01,Correios,30.68,4
1484,PED-24515,2024-03-21,2024-03-29,2024-03-27,correios,78.81,4
1485,PED-37063,2025-01-15,2025-01-18,2025-01-20,correios,122.9,3
1486,PED-72230,2025-07-03,2025-07-11,2025-07-17,correios,87.69,3
1487,PED-75860,2025-01-18,2025-01-29,2025-01-28,Total Express,44.36,1
1488,PED-18384,2024-11-26,2024-11-30,2024-12-03,Total Express,87.84,2
1489,PED-84609,2024-07-30,2024-08-09,2024-08-10,Total Express,68.75,1
1490,PED-94711,2024-10-17,2024-10-20,2024-10-20,Total Express,53.78,3
1491,PED-32954,2025-10-20,2025-10-28,2025-11-02,Total Express,40.89,4
1492,PED-96386,2024-06-21,2024-06-30,2024-07-02,correios,100.2,1
1493,PED-41417,2024-11-19,2024-11-27,2024-11-23,correios,44.14,3
1494,PED-38476,2025-09-19,2025-10-01,2025-09-28,Total Express,62.29,1
1495,PED-23791,2025-05-05,2025-05-12,2025-05-09,Jadlog,62.13,2
1496,PED-76330,2025-03-08,2025-03-14,2025-03-13,Correios,69.01,1
1497,PED-70542,2024-10-10,2024-10-22,2024-10-28,Total Express,53.36,4
1498,PED-14951,2025-07-01,2025-07-06,2025-07-08,Correios,41.08,2
1499,PED-70849,2024-09-19,2024-09-26,2024-10-02,Total Express,68.9,1
1500,PED-41757,2024-08-28,2024-09-07,2024-09-13,Total Express,26.51,3
1501,PED-12367,2025-01-07,2025-01-11,2025-01-09,Correios,31.4,1
1502,PED-32079,2024-06-09,2024-06-19,2024-06-21,Correios,96.62,1
1503,PED-30119,2024-09-29,2024-10-11,2024-10-11,Total Express,55.27,2
1504,PED-79769,2025-04-30,2025-05-02,2025-05-08,correios,66.35,1
1505,PED-94018,2024-07-23,2024-08-04,2024-08-08,Correios,59.56,3
1506,PED-88407,2025-05-04,2025-05-13,2025-05-09,Correios,14.42,4
1507,PED-59105,2024-06-25,2024-06-30,2024-06-29,correios,34.4,1
1508,PED-11908,2025-07-21,2025-07-29,2025-07-25,Jadlog,116.31,1
1509,PED-97046,2024-09-17,2024-09-22,2024-09-19,correios,103.57,1
1510,PED-24114,2025-04-01,2025-04-09,2025-04-13,Jadlog,50.59,2
1511,PED-81002,2025-12-10,2025-12-21,2025-12-20,Total Express,131.94,1
1512,PED-23878,2024-06-11,2024-06-16,2024-06-15,Jadlog,50.68,1
1513,PED-51450,2026-01-18,2026-01-26,2026-02-01,Correios,59.37,4
1514,PED-96240,2024-11-16,2024-11-21,2024-11-18,Jadlog,93.79,3
1515,PED-38647,2025-04-24,2025-04-26,2025-04-23,Total Express,47.8,4
1516,PED-84606,2025-01-29,2025-02-01,2025-02-05,correios,41.26,1
1517,PED-92689,2025-10-26,2025-11-06,2025-11-07,Total Express,97.48,2
1518,PED-93277,2024-06-01,2024-06-08,2024-06-06,Jadlog,137.1,4
1519,PED-12313,2025-07-20,2025-07-23,2025-07-24,Total Express,58.47,2
1520,PED-11742,2025-06-08,2025-06-18,2025-06-23,correios,10.8,1
1521,PED-66164,2025-12-25,2025-12-31,2025-12-30,correios,89.81,1
1522,PED-75369,2025-11-09,2025-11-13,2025-11-14,Jadlog,34.67,4
1523,PED-14968,2024-02-13,2024-02-18,2024-02-24,correios,129.89,4
1524,PED-46454,2024-10-06,2024-10-13,2024-10-11,Jadlog,92.96,1
1525,PED-94940,2025-12-12,2025-12-22,2025-12-24,Jadlog,107.07,2
1526,PED-41752,2026-02-03,2026-02-10,2026-02-11,correios,79.19,2
1527,PED-89700,2024-06-13,2024-06-25,2024-06-24,Total Express,76.83,2
1528,PED-10792,2025-07-29,2025-08-07,2025-08-13,Correios,122.82,1
1529,PED-93147,2024-08-12,2024-08-17,2024-08-13,correios,131.85,2
1530,PED-87677,2025-09-07,2025-09-10,2025-09-08,correios,39.19,1
1531,PED-50824,2025-03-18,2025-03-26,2025-03-29,correios,103.26,2
1532,PED-89410,2024-09-30,2024-10-08,2024-10-06,correios,48.01,4
1533,PED-45633,2024-04-11,2024-04-23,2024-04-22,Total Express,18.56,3
1534,PED-31989,2024-09-20,2024-09-28,2024-09-30,Total Express,66.26,4
1535,PED-12596,2024-10-23,2024-10-27,2024-10-30,Total Express,64.42,1
1536,PED-80411,2025-11-21,2025-11-27,2025-12-02,correios,80.98,2
1537,PED-70771,2024-10-12,2024-10-18,2024-10-20,Jadlog,67.88,4
1538,PED-73025,2025-05-02,2025-05-12,2025-05-17,Correios,51.99,4
1539,PED-34854,2025-08-23,2025-08-28,2025-08-26,Correios,9.69,3
1540,PED-64502,2025-10-06,2025-10-15,2025-10-17,Total Express,136.11,3
1541,PED-50345,2025-03-26,2025-04-03,2025-04-06,Correios,61.96,1
1542,PED-84135,2025-01-29,2025-02-01,2025-02-03,correios,33.64,4
1543,PED-76795,2025-02-24,2025-03-02,2025-03-03,Total Express,91.82,3
1544,PED-60506,2024-05-21,2024-05-23,2024-05-29,Total Express,105.11,2
1545,PED-57371,2024-12-31,2025-01-09,2025-01-05,Correios,100.07,2
1546,PED-69699,2024-07-30,2024-08-05,2024-08-10,correios,41.57,2
1547,PED-22098,2025-05-31,2025-06-02,2025-05-30,Total Express,60.49,1
1548,PED-65436,2025-02-05,2025-02-15,2025-02-14,correios,117.53,3
1549,PED-79887,2024-05-19,2024-05-25,2024-05-29,Total Express,85.36,4
1550,PED-93385,2024-02-29,2024-03-03,2024-02-29,Jadlog,115.48,3
1551,PED-50383,2025-07-18,2025-07-23,2025-07-25,Correios,138.29,4
1552,PED-19154,2024-05-31,2024-06-02,2024-05-30,Total Express,77.29,3
1553,PED-33121,2025-03-23,2025-03-31,2025-03-29,Jadlog,32.6,2
1554,PED-33853,2024-06-22,2024-06-27,2024-06-30,Correios,67.49,2
1555,PED-17730,2024-11-17,2024-11-21,2024-11-20,correios,114.81,2
1556,PED-67767,2025-08-26,2025-09-01,2025-09-03,Correios,122.62,2
1557,PED-21233,2024-06-29,2024-07-02,2024-07-02,Total Express,24.46,1
1558,PED-86761,2025-05-07,2025-05-14,2025-05-10,correios,71.08,1
1559,PED-44875,2025-09-01,2025-09-03,2025-08-30,Correios,95.82,1
1560,PED-78463,2026-01-08,2026-01-11,2026-01-10,Correios,57.59,3
1561,PED-54175,2025-07-08,2025-07-17,2025-07-20,Total Express,52.42,3
1562,PED-57344,2025-03-08,2025-03-15,2025-03-14,Total Express,57.95,1
1563,PED-23130,2025-11-21,2025-11-28,2025-11-29,Correios,68.31,4
1564,PED-88893,2024-09-19,2024-09-23,2024-09-19,Correios,122.71,3
1565,PED-69233,2025-01-17,2025-01-22,2025-01-23,Total Express,75.97,2
1566,PED-52229,2025-08-23,2025-08-25,2025-08-31,Correios,91.66,1
1567,PED-68236,2025-10-05,2025-10-12,2025-10-18,correios,88.09,4
1568,PED-55656,2025-06-10,2025-06-21,2025-06-18,Total Express,131.96,4
1569,PED-60444,2024-03-06,2024-03-18,2024-03-15,Jadlog,88.15,2
1570,PED-76143,2024-05-06,2024-05-16,2024-05-21,Correios,24.88,1
1571,PED-81925,2024-06-17,2024-06-23,2024-06-29,Total Express,30.18,4
1572,PED-96853,2026-01-06,2026-01-09,2026-01-12,correios,40.12,2
1573,PED-23824,2025-08-25,2025-09-06,2025-09-03,Total Express,139.12,1
1574,PED-60264,2024-06-10,2024-06-14,2024-06-15,Jadlog,37.09,3
1575,PED-97897,2025-08-28,2025-09-09,2025-09-12,Correios,95.84,4
1576,PED-39334,2024-08-09,2024-08-12,2024-08-13,Correios,93.01,4
1577,PED-94161,2025-04-25,2025-05-03,2025-05-09,Total Express,114.72,2
1578,PED-48138,2025-12-15,2025-12-21,2025-12-18,Correios,22.7,3
1579,PED-25218,2025-01-19,2025-01-30,2025-01-29,Jadlog,24.82,3
1580,PED-10220,2025-07-07,2025-07-15,2025-07-20,Jadlog,16.17,2
1581,PED-51896,2024-06-18,2024-06-26,2024-06-28,Jadlog,113.27,2
1582,PED-88855,2025-08-09,2025-08-19,2025-08-25,correios,22.07,1
1583,PED-51409,2025-07-24,2025-08-03,2025-08-06,correios,115.73,3
1584,PED-99126,2025-06-18,2025-06-23,2025-06-26,Total Express,27.46,3
1585,PED-14501,2025-05-16,2025-05-20,2025-05-26,Jadlog,48.77,1
1586,PED-72689,2024-08-31,2024-09-06,2024-09-11,correios,73.34,4
1587,PED-30014,2024-12-07,2024-12-09,2024-12-10,correios,119.95,2
1588,PED-73898,2024-03-19,2024-03-21,2024-03-19,Total Express,47.48,2
1589,PED-61417,2025-12-19,2025-12-21,2025-12-25,Jadlog,63.76,4
1590,PED-61257,2025-02-21,2025-02-28,2025-03-02,Correios,77.68,3
1591,PED-81828,2024-03-27,2024-04-02,2024-04-01,Total Express,20.85,3
1592,PED-49855,2024-06-18,2024-06-29,2024-06-25,Total Express,94.41,2
1593,PED-48152,2024-11-17,2024-11-26,2024-11-29,correios,35.69,2
1594,PED-57477,2026-01-24,2026-02-05,2026-02-01,Correios,97.54,2
1595,PED-99056,2025-05-26,2025-06-03,2025-06-05,correios,130.23,1
1596,PED-33544,2024-04-12,2024-04-19,2024-04-22,Correios,23.49,3
1597,PED-29473,2024-10-28,2024-11-08,2024-11-10,Total Express,40.34,1
1598,PED-74045,2025-06-01,2025-06-06,2025-06-08,Jadlog,98.81,2
1599,PED-97914,2025-04-14,2025-04-26,2025-04-28,Correios,110.66,4
1600,PED-95615,2025-06-18,2025-06-24,2025-06-30,Total Express,56.49,1
1601,PED-25997,2025-04-21,2025-04-24,2025-04-21,Total Express,92.67,2
1602,PED-85101,2025-07-17,2025-07-19,2025-07-24,Total Express,44.13,1
1603,PED-60326,2024-10-03,2024-10-14,2024-10-12,Total Express,139.99,4
1604,PED-26414,2025-04-21,2025-04-27,2025-05-02,Correios,50.93,2
1605,PED-61615,2024-02-21,2024-02-29,2024-02-25,Total Express,16.44,1
1606,PED-25378,2024-08-08,2024-08-13,2024-08-19,correios,121.78,2
1607,PED-68619,2024-09-13,2024-09-15,2024-09-19,Jadlog,24.24,2
1608,PED-95542,2025-09-03,2025-09-14,2025-09-13,correios,19.59,3
1609,PED-26346,2024-12-05,2024-12-07,2024-12-04,Jadlog,55.99,2
1610,PED-10011,2025-06-19,2025-06-27,2025-07-03,correios,47.68,3
1611,PED-68316,2025-04-08,2025-04-20,2025-04-24,correios,84.17,3
1612,PED-89452,2024-02-07,2024-02-17,2024-02-18,correios,98.81,1
1613,PED-34651,2024-10-10,2024-10-15,2024-10-11,correios,47.56,2
1614,PED-82361,2025-09-23,2025-09-27,2025-10-02,correios,86.12,3
1615,PED-65314,2024-10-15,2024-10-19,2024-10-24,Correios,80.58,3
1616,PED-31406,2025-06-17,2025-06-25,2025-07-01,Total Express,68.2,3
1617,PED-28775,2026-01-25,2026-02-06,2026-02-08,correios,17.31,3
1618,PED-35248,2025-04-11,2025-04-23,2025-04-29,Jadlog,82.4,2
1619,PED-51465,2025-06-14,2025-06-22,2025-06-20,Total Express,58.02,2
1620,PED-26334,2025-11-07,2025-11-10,2025-11-10,Correios,98.29,4
1621,PED-93909,2026-02-02,2026-02-05,2026-02-06,Correios,55.89,3
1622,PED-39591,2025-12-27,2026-01-02,2025-12-31,Jadlog,9.3,4
1623,PED-23762,2025-01-27,2025-02-01,2025-02-03,Correios,31.2,3
1624,PED-22522,2025-03-15,2025-03-26,2025-03-29,Jadlog,100.46,3
1625,PED-89621,2025-04-20,2025-04-30,2025-04-30,Correios,126.35,2
1626,PED-33681,2024-09-15,2024-09-22,2024-09-24,Jadlog,114.4,4
1627,PED-26721,2024-11-28,2024-12-07,2024-12-12,Jadlog,9.25,2
1628,PED-28700,2024-07-22,2024-08-03,2024-08-01,Total Express,82.92,3
1629,PED-58516,2025-03-18,2025-03-20,2025-03-26,correios,97.52,4
1630,PED-67535,2025-06-30,2025-07-09,2025-07-07,Jadlog,113.4,3
1631,PED-78235,2025-10-26,2025-11-01,2025-11-03,correios,48.28,1
1632,PED-50991,2025-12-31,2026-01-06,2026-01-08,Correios,91.78,1
1633,PED-31641,2025-07-28,2025-08-02,2025-07-30,Correios,19.17,3
1634,PED-11401,2024-02-17,2024-02-27,2024-03-01,Total Express,97.37,2
1635,PED-77503,2024-02-28,2024-03-08,2024-03-11,Correios,61.52,2
1636,PED-80035,2025-05-19,2025-05-21,2025-05-23,Jadlog,40.24,1
1637,PED-32089,2025-01-09,2025-01-20,2025-01-23,correios,31.08,3
1638,PED-56306,2024-07-24,2024-07-28,2024-08-01,Correios,63.8,4
1639,PED-24841,2024-09-16,2024-09-20,2024-09-21,Jadlog,128.65,2
1640,PED-48019,2025-10-08,2025-10-18,2025-10-15,Jadlog,71.77,3
1641,PED-92729,2024-09-17,2024-09-22,2024-09-18,Total Express,36.71,3
1642,PED-14643,2025-08-26,2025-09-07,2025-09-11,Total Express,125.81,4
1643,PED-10772,2025-02-10,2025-02-12,2025-02-13,Total Express,51.37,3
1644,PED-55838,2025-04-15,2025-04-18,2025-04-14,correios,61.07,1
1645,PED-74493,2025-10-25,2025-10-28,2025-10-30,correios,19.19,2
1646,PED-73886,2024-11-16,2024-11-24,2024-11-21,Correios,28.54,3
1647,PED-61820,2024-10-12,2024-10-17,2024-10-20,Jadlog,47.51,4
1648,PED-45321,2024-11-25,2024-11-29,2024-12-03,Correios,138.6,4
1649,PED-56365,2024-11-14,2024-11-18,2024-11-16,Total Express,8.77,2
1650,PED-47342,2025-10-07,2025-10-10,2025-10-09,Correios,25.65,4
1651,PED-31012,2025-05-07,2025-05-14,2025-05-10,correios,133.19,3
1652,PED-74103,2025-03-28,2025-03-31,2025-04-02,Total Express,113.58,2
1653,PED-75779,2024-12-05,2024-12-12,2024-12-14,Total Express,25.35,1
1654,PED-30387,2024-03-18,2024-03-20,2024-03-18,Jadlog,74.0,2
1655,PED-54845,2024-02-13,2024-02-15,2024-02-21,Total Express,136.89,1
1656,PED-47940,2025-03-11,2025-03-19,2025-03-22,Jadlog,72.14,4
1657,PED-29987,2025-03-12,2025-03-17,2025-03-22,correios,40.93,1
1658,PED-97337,2025-11-25,2025-12-01,2025-11-30,Total Express,34.19,1
1659,PED-33748,2024-09-19,2024-09-29,2024-10-04,correios,139.02,2
1660,PED-27340,2024-11-18,2024-11-23,2024-11-20,Total Express,13.06,2
1661,PED-12314,2024-11-06,2024-11-10,2024-11-12,correios,20.0,1
1662,PED-78809,2025-01-23,2025-01-31,2025-02-02,Jadlog,100.42,2
1663,PED-65846,2025-07-04,2025-07-09,2025-07-10,Total Express,16.1,4
1664,PED-49883,2024-04-30,2024-05-12,2024-05-08,Correios,43.54,3
1665,PED-42370,2024-04-25,2024-05-02,2024-05-04,Jadlog,126.15,2
1666,PED-16832,2024-06-24,2024-06-26,2024-06-22,Jadlog,35.98,4
1667,PED-23207,2026-01-22,2026-01-28,2026-02-02,Total Express,32.4,4
1668,PED-49892,2024-02-13,2024-02-20,2024-02-21,Correios,20.79,1
1669,PED-27079,2025-09-09,2025-09-21,2025-09-25,Jadlog,55.6,3
1670,PED-89261,2025-10-24,2025-11-04,2025-11-08,Jadlog,39.45,3
1671,PED-60338,2024-05-05,2024-05-10,2024-05-15,Correios,125.11,2
1672,PED-25775,2026-01-04,2026-01-16,2026-01-21,Correios,85.43,2
1673,PED-22928,2025-05-21,2025-05-26,2025-05-29,Correios,132.32,3
1674,PED-36476,2025-06-17,2025-06-23,2025-06-26,correios,13.78,2
1675,PED-43099,2025-01-29,2025-02-06,2025-02-10,Jadlog,126.13,4
1676,PED-67163,2025-01-21,2025-02-02,2025-01-30,Correios,71.73,1
1677,PED-45933,2025-04-01,2025-04-05,2025-04-10,correios,46.23,1
1678,PED-74884,2025-11-01,2025-11-06,2025-11-08,Correios,29.85,4
1679,PED-62540,2025-05-28,2025-06-07,2025-06-09,Jadlog,35.31,1
1680,PED-38548,2025-10-28,2025-11-01,2025-11-06,Correios,124.05,4
1681,PED-43925,2025-06-04,2025-06-14,2025-06-18,Jadlog,120.53,3
1682,PED-25611,2025-06-26,2025-07-02,2025-07-06,correios,37.56,2
1683,PED-93835,2024-06-12,2024-06-18,2024-06-14,correios,132.35,3
1684,PED-16752,2024-08-20,2024-08-24,2024-08-24,correios,138.62,2
1685,PED-10183,2025-09-20,2025-09-30,2025-09-27,Jadlog,91.51,3
1686,PED-81994,2024-02-04,2024-02-11,2024-02-08,Jadlog,103.31,4
1687,PED-52550,2024-09-01,2024-09-12,2024-09-12,Correios,90.63,1
1688,PED-46659,2025-07-10,2025-07-17,2025-07-16,correios,41.79,1
1689,PED-86449,2024-06-21,2024-07-01,2024-07-07,Correios,103.38,4
1690,PED-92081,2024-10-26,2024-11-07,2024-11-07,correios,115.82,2
1691,PED-36728,2025-08-24,2025-08-31,2025-08-31,Total Express,28.54,2
1692,PED-29442,2025-05-22,2025-05-30,2025-05-31,Total Express,20.37,2
1693,PED-33083,2025-12-04,2025-12-13,2025-12-11,correios,83.19,2
1694,PED-12758,2024-03-18,2024-03-30,2024-03-30,Jadlog,29.51,2
1695,PED-89668,2024-06-01,2024-06-09,2024-06-15,correios,17.17,1
1696,PED-69640,2025-09-06,2025-09-14,2025-09-13,Total Express,21.23,2
1697,PED-23071,2025-09-12,2025-09-14,2025-09-19,Total Express,58.69,1
1698,PED-15733,2024-04-02,2024-04-04,2024-04-10,correios,40.78,1
1699,PED-92232,2024-03-30,2024-04-05,2024-04-03,Correios,112.6,1
1700,PED-54353,2026-02-01,2026-02-04,2026-02-08,Correios,34.71,4
1701,PED-31383,2024-04-14,2024-04-25,2024-04-28,Jadlog,51.79,2
1702,PED-81241,2025-10-10,2025-10-15,2025-10-11,Jadlog,90.83,1
1703,PED-23476,2025-10-19,2025-10-21,2025-10-17,Jadlog,21.54,4
1704,PED-39401,2024-09-08,2024-09-12,2024-09-08,Correios,37.92,4
1705,PED-95899,2026-01-04,2026-01-08,2026-01-09,Jadlog,37.82,4
1706,PED-74463,2025-09-11,2025-09-23,2025-09-20,correios,138.78,2
1707,PED-56833,2024-03-06,2024-03-09,2024-03-09,Correios,89.27,1
